CITY,2019,No,53
CYID,CYNM,CYST,
0,Chicago,Illinois,
1,Cincinnati,Ohio,
2,Orchard Park,New York,
3,Denver,Colorado,
4,Cleveland,Ohio,
5,Tampa,Florida,
6,Glendale,Arizona,
8,Kansas City,Missouri,
9,Indianapolis,Indiana,
10,Arlington,Texas,
11,Miami,Florida,
12,Philadelphia,Pennsylvania,
13,Atlanta,Georgia,
14,Santa Clara,California,
15,East Rutherford,New Jersey
16,Jacksonville,Florida
17,Detroit,Michigan
18,Green Bay,Wisconsin
19,Charlotte,North Carolina
20,Foxborough,Massachusetts
21,Oakland,California
23,Baltimore,Maryland
24,Landover,Maryland
25,New Orleans,Louisiana
26,Seattle,Washington
27,Pittsburgh,Pennsylvania
28,Nashville,Tennessee
29,Minneapolis,Minnesota
30,Maitland,Florida
36,Honolulu,Hawaii
37,Houston,Texas
58,Los Angeles,California
59,Memphis,Tennessee
60,Toronto,Canada
61,Anaheim,California
64,San Antonio,Texas
65,Portland,Oregon
66,Mexico City,Mexico
68,Boston,Massachusetts
69,Columbus,Ohio
90,Oklahoma City,Oklahoma
95,Salt Lake City,Utah
101,Austin,Texas
102,Orlando,Florida
118,Vancouver,Canada
121,Brooklyn,New York
123,Dublin,Ireland
124,Sacramento,California
176,Carson,California
178,London,England
179,Canton,Ohio
180,Mathis,Texas
182,Eugene,Oregon
